id	 artist	 title	 date	 materials	 address	 description	 type	 url1	 url2	 loc_lat	, loc_long
ID_00059	 Ken Betlehem	 Ez	 2010	 Aluminium	 Golburn & Molle Street	 Lazer cut aluminium, human silhouette	 Bike Rack	 http://hccapps.hobartcity.com.au/gis/PublicArt/IMG_0061.JPG	 	 -42.88644522408968	 147.3199383851654
ID_00060	 Ken Betlehem	 Fred	 2010	 Aluminium	 Hunter St	 Lazer cut aluminium, human silhouette	 Bike Rack	 http://hccapps.hobartcity.com.au/gis/PublicArt/IMG_0077.JPG	 	 -42.88121919675631	 147.334929704462
ID_00061	 Ken Betlehem	 Fred	 2010	 Aluminium	 Salamanca Square	 Lazer cut aluminium, human silhouette	 Bike Rack	 http://hccapps.hobartcity.com.au/gis/PublicArt/IMG_0080.JPG	 	 -42.88686006898552	 147.3322279845156
ID_00062	 Ken Betlehem	 Mac	 2010	 Aluminium	 Salamanca Square	 Lazer cut aluminium, human silhouette	 Bike Rack	 http://hccapps.hobartcity.com.au/gis/PublicArt/IMG_0081.JPG	 	 -42.88692748680722	 147.3322041024404
ID_00063	 Ken Betlehem	 Charlie	 2010	 Aluminium	 Salamanca Square	 Lazer cut aluminium, human silhouette	 Bike Rack	 http://hccapps.hobartcity.com.au/gis/PublicArt/IMG_0081.JPG	 	 -42.88700883322519	 147.3321587453241
ID_00064	 Ken Betlehem	 Jo & Edie	 2010	 Aluminium	 Salamanca Square	 Lazer cut aluminium, human silhouette	 Bike Rack	 http://hccapps.hobartcity.com.au/gis/PublicArt/IMG_0083.JPG	 	 -42.88723118331279	 147.3331609148761
ID_00065	 Ken Betlehem	 Charlie Kik & Rose	 2010	 Aluminium	 Salamanca Square	 Lazer cut aluminium, human silhouette	 Bike Rack	 http://hccapps.hobartcity.com.au/gis/PublicArt/IMG_0084.JPG	 	 -42.887231111653	 147.3331855393384
ID_00066	 Ken Betlehem	 Ruby	 2010	 Aluminium	 Salamanca Square	 Lazer cut aluminium, human silhouette	 Bike Rack	 http://hccapps.hobartcity.com.au/gis/PublicArt/IMG_0061.jpg	 	 -42.88724220193141	 147.3331736760321
ID_00067	 Futago, Judith Abell, Chris Viney	 1883	 2010	 Stone, steel	 Salamanca Palce	 Steel cages with stone chips	 Battery Point Trail	 http://www.hobartcity.com.au/files/f1b57999-88ac-4041-98fa-9dd800d3c1f6/1833_073.jpg	 	 -42.88663918579913	 147.3346451741691
ID_00068	 Futago, Judith Abell, Chris Viney	 12.43	 2010	 concrete, steel and resin	 Castray Esplanade	 <Null>	 Battery Point Trail	 http://www.hobartcity.com.au/files/4aa2e287-d70a-4205-a715-9dd800d3c1b9/12.43_083.jpg	 	 -42.88659912440483	 147.337550966097
ID_00069	 Futago, Judith Abell, Chris Viney	 628 nm	 2010	 glass	 Castray Eplanade foreshore	 <Null>	 Battery Point Trail	 http://www.hobartcity.com.au/files/650fe8d5-9af6-49ee-81ae-9dd800d3c2c9/628_030.jpg	 	 -42.88743212320976	 147.3391890390568
ID_00070	 Futago, Judith Abell, Chris Viney	 2000	 2010	 steel, concrete	 Finlay Street foreshore	 steel wrapped around concrete retaining wall	 Battery Point Trail	 http://www.hobartcity.com.au/files/7dc00033-3311-4d82-93c6-9e09010fd0e8/Battery_point_pics_027_(Small).jpg	 	 -42.88901121558774	 147.3379490012138
ID_00071	 Futago, Judith Abell, Chris Viney	 1923	 2010	 Wire mesh, plants	 Clarke Avenue	 wire cage containing topiary plant	 Battery Point Trail	 http://www.hobartcity.com.au/files/e4e0711a-8554-4867-8fc8-9e09010fd340/Battery_point_pics_037_(Small).jpg	 	 -42.89018079910949	 147.3385381406442
ID_00072	 Futago, Judith Abell, Chris Viney	 313	 2010	 <Null>	 Derwent Lane jetty	 	 Battery Point Trail	 http://www.hobartcity.com.au/files/ddff0c92-aa9c-44eb-8caa-9dd800d3c246/313_009.jpg	 	 -42.8923183997485	 147.3373755398925
